Country,Year,GHG,CO2,rain
India,1990,1239.0645,614.9176,1401.4
India,1991,1294.0121,658.4543,1170.2
India,1992,1333.2529,687.0026,1102.7
India,1993,1365.8092,708.8264,1207.8
India,1994,1416.4214,747.196,1295.3
India,1995,1486.6123,808.6786,1242.4
India,1996,1546.6094,853.0397,1182.9
India,1997,1605.2903,897.9191,1183.1
India,1998,1635.8745,913.3627,1208.8
India,1999,1715.3943,981.0162,1116.6
India,2000,1767.2834,1029.8078,1035.4
India,2001,1800.6461,1048.1703,1105.2
India,2002,1832.4342,1084.5234,981.9
India,2003,1884.5535,1115.4326,1243.6
India,2004,1988.6049,1200.1972,1080.5
India,2005,2081.9291,1265.2419,1208.3
India,2006,2200.8578,1364.5367,1161.6
India,2007,2348.4048,1490.4657,1179.3
India,2008,2454.9513,1577.4603,1118
India,2009,2666.0268,1779.4282,953.7
India,2010,2772.4769,1860.7368,1215.5
India,2011,2883.1544,1950.061,1116.3
India,2012,3013.7699,2075.1808,1054.7
